name,area,population,total_cases,fraud_cases,theft_cases,robbery_cases,total_by_area,fraud_by_area,theft_by_area,robbery_by_area,total_by_population,fraud_by_population,theft_by_population,robbery_by_population
Залізничний район,33.82083009859082,126020.0,1681.0,222.0,1350.0,109.0,49.703097029248866,6.564002106182778,39.91622902408446,3.222865898981634,74.96728138013087,567.6576576576576,93.34814814814816,1156.1467889908256
Сихівський район,19.634930119465146,151371.0,2266.0,402.0,1786.0,78.0,115.40657319445177,20.47371686856558,90.96034409765704,3.972512228229143,66.80097087378641,376.54477611940297,84.7541993281075,1940.6538461538462
Галицький район,6.534393407248048,58812.0,2279.0,254.0,1925.0,100.0,348.76994052303286,38.87124391963596,294.5950572649576,15.303639338439353,25.806055287406757,231.54330708661416,30.551688311688313,588.12
Франківський район,11.880094521013907,151100.0,1619.0,302.0,1237.0,80.0,136.27837700586127,25.420673166009944,104.12375068329239,6.7339531565589255,93.32921556516368,500.33112582781456,122.1503637833468,1888.75
Шевченківський район,39.467499981355665,144242.0,2107.0,245.0,1732.0,130.0,53.38569711776375,6.207639199739971,43.884208546733184,3.2938493712905967,68.45847176079734,588.7428571428571,83.28060046189377,1109.553846153846
Личаківський район,37.05356930813338,102639.0,1903.0,271.0,1561.0,71.0,51.358075228188206,7.313735358296902,42.12819518192422,1.916144687967085,53.93536521282186,378.74169741697415,65.75208199871877,1445.619718309859
